 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
6000;Apricool;Абрикос;Легкий аромат абрикоса плюс много дыма —  рецепт комфортного, ни к чему не обязывающего чилла. Нежные фруктово-сладкие нотки идеально ложатся на табачную основу из золотистого и мягкого листа Virginia. Невысокая крепость подходит для атмосферного релакса всем, кто еще только открывает для себя дымную вселенную ярких вкусов;;2;Apricool Абрикос B3;B3;;;
6001;Bar-Bar;Барбарис;Барбарис из детства, кисло-сладкий и ни с чем не сравнимый. Отборные листы Virginia Gold добавляют смеси легкую крепость, тающую в тончайших ягодно-пряных оттенках. Табак приносит с собой только дымное удовольствие и расслабленность. Кисловатое ягодное послевкусие обволакивает густым и насыщенным облаком удовольствия. Невысокая крепость позволит расслабиться и не добавит вкусу ни капли горечи.;;2;Bar-Bar Барбарис B3;B3;;;
6002;Belgium Waffle;Вафли Выпечка;Dolce Vita от Burn раскрывается домашним, согревающим ароматом выпечки и заполняет вечер густым и вкусным дымом. Десертная сладость со сливочными нотками — выигрышный вариант для сладкоежек. Отличный компаньон для кофе, кисло-сладкой малины и нежных сочных фруктов, вроде груши. Табак отлично заходит в соло, играет мягкими сливочно-кремовыми переходами, не создавая приторности.;;2;Belgium Waffle Вафли Выпечка B3;B3;;;
6003;Bruno Granade;Гранат;Burn предлагает взорвать рецепторы умопомрачительно-ярким вкусом граната. Насыщенно-кислый, сводящий скулы, с фруктовыми терпкими гранями спелого южного граната табак. О, это стоит заценить! В ароматике проступают сладкие оттенки, которые только дополняют общее бодрящее настроение. Многогранность фрукта идеально звучит в соло.;;2;Bruno Granade Гранат B3;B3;;;
6004;Corn Flex;Кукуруза;Это настоящий попкорн с натуральными мягкими оттенками легкой кукурузной выпечки: сладковатый, но не сладкий, сбалансированный, интересный и густо-дымный. К нему прилагается отменное расслабление, которому незнакомы компромиссы. Смесь легкой крепости с мягкой табачной основой из отборного листа Virginia Gold. Выдерживает жару, не сдувается от перегревов. Дыма и вкуса хватит на целый фильм. Варианты забивки — исключительно на ваш вкус.;;2;Corn Flex Кукуруза B3;B3;;;
6005;Crystal Apple;Яблоко Лед;Этот вкус первый по холодку у B3. Классическое яблоко да еще и в компании с льдом всегда придется кстати. Virginia Gold добавляет расслабленности вкусу, оставаясь в тени сочных фруктовых нот. Глицерин стоит на страже дымности, закутывая всех участников в насыщенное и ароматное облако.;;2;Crystal Apple Яблоко Лед B3;B3;;;
6006;King Karamel;Карамель;Идеальная карамель, роскошно-сладкая, кремово-сливочная, покажет вам, как звучит безупречный и дымный десерт в компании с кальяном. Теплая сладость раскрывается без остатка и табачной терпкости. Отборный табак сорта Virginia Gold, как всегда, отдает от себя только лучшее: мягкую крепость и отличное настроение.;;2;King Karamel Карамель B3;B3;;;
6007;Limewax Peach;Персик Лайм;Спелый летний персик и кислый лайм — бомбическая свежесть от B3. Необычное сочетание сочной аппетитной сладости и сумасшедшей цитрусовости раскрывают тонкие грани летних фруктов. Красиво, бодряще, насыщенно. Разнообразие искристых фруктовых граней не позволит расслабиться, а вот табачная основа Virginia Gold — наоборот. Табачный лист добавит легкости и непринужденности вашему чиллу.;;2;Limewax Peach Персик Лайм B3;B3;;;
6008;Pear Bear;Груша;Табак с его мягкостью и комфортом создает мягкую основу для расслабленного курения: небольшая крепость, большое удовольствие. Высокая дымность и насыщенность вкуса всегда в комплекте. Прохладные фруктовые ноты, пронизанные сладостной свежестью, превосходно раскрываются соло. Груша — один из универсальных вкусов, который отлично покажет себя и в миксах с другими фруктами, и с холодком, и со сливочными десертами.;;2;Pear Bear Груша B3;B3;;;
