 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
9026;МУЛЬТИФРУКТ;;Сочетание множества фруктов и ягод сможет удивить необычными и яркими нотами в практически неразделимом на вкусы миксе. Это стоит попробовать!;;3;МУЛЬТИФРУКТ  BRUSKO;BRUSKO;;;
9027;МЯТА;;Классическая мята порадует своей сладостью и легкой прохладой в любом миксе, который хочется сделать посвежее.;;3;МЯТА  BRUSKO;BRUSKO;;;
9028;ОГУРЕЧНЫЙ ЛИМОНАД;;Освежающий лимонадный микс с сочной мякотью свежего огурца и кисло-сладким лимоном не оставит никого равнодушным жарким летним днём.;;3;ОГУРЕЧНЫЙ ЛИМОНАД  BRUSKO;BRUSKO;;;
9029;ПЕЧЕНЬЕ С БАНАНОМ;;Необычный десертный микс, внутри которого спрятаны рассыпчатое печенье и слегка запеченный банан, порадует любителей сладенького.;;3;ПЕЧЕНЬЕ С БАНАНОМ  BRUSKO;BRUSKO;;;
9030;ПИНА КОЛАДА;;Знаменитый карибский коктейль, в основе которого всегда есть ананас с кокосом, дополненный лёгкими клубничными нотами.;;3;ПИНА КОЛАДА  BRUSKO;BRUSKO;;;
9031;СИБИРСКИЙ ЛИМОНАД;;Насыщенный травянистыми и хвойными нотами вкус знаменитого лимонада. Конечно же, с добавлением льда.;;3;СИБИРСКИЙ ЛИМОНАД  BRUSKO;BRUSKO;;;
9032;СЛИВОЧНАЯ КАРАМЕЛЬ;;Утончённый аромат сладкой сливочной карамели порадует каждого кондитера своим нежным обволакивающим вкусом.;;3;СЛИВОЧНАЯ КАРАМЕЛЬ  BRUSKO;BRUSKO;;;
9033;ТАРХУН;;"Яркий вкус классического зелёного лимонада ""Тархун"", изготовленного на основе эстрагона и лимонного сока. Незабываемый вкус прямиком из детства.";;3;ТАРХУН  BRUSKO;BRUSKO;;;
9034;ТРОПИЧЕСКИЙ СМУЗИ;;Фруктовый микс из спелого персика, сочного манго и нежной маракуйи с легким освежающим эффектом отлично подойдет любителям тропических сочетаний.;;3;ТРОПИЧЕСКИЙ СМУЗИ  BRUSKO;BRUSKO;;;
9035;ФРУКТОВОЕ ДРАЖЕ;;Ассорти фруктово-ягодных конфет со вкусами чёрной смородины, лимона, апельсина и лайма подарит яркие эмоции каждому любителю кисло-сладких сочетаний.;;3;ФРУКТОВОЕ ДРАЖЕ  BRUSKO;BRUSKO;;;
9036;ХОЛОДОК;;Отличное дополнение к любому фруктовому, тропическому или ягодному миксу, которые без холодка воспринимаются не так ярко.;;3;ХОЛОДОК  BRUSKO;BRUSKO;;;
9037;ЧАЙ ПУЭР;;Вкус китайского чая пуэр, обладающий терпкими древесными нотами с лёгким сливочным оттенком, идеально сочетается с ягодными и травянистыми ароматами.;;3;ЧАЙ ПУЭР  BRUSKO;BRUSKO;;;
9038;ЧЕРНИКА С МЯТОЙ;;Сочетание вкусов спелых ягод черники и свежей перечной мяты превосходно как в чистом виде, так и в союзе с любыми другими ягодными миксами.;;3;ЧЕРНИКА С МЯТОЙ  BRUSKO;BRUSKO;;;
9039;ЧИЗКЕЙК;;Классический американский десерт с невероятно ярким сливочным вкусом порадует любителей мягких и легких сочетаний.;;3;ЧИЗКЕЙК  BRUSKO;BRUSKO;;;
9040;ШОКОЛАД С МЯТОЙ;;Легкий молочный шоколад в сочетании со сладкой и немного освежающей мятой привнесет немного разнообразия в уже привычные всем миксы.;;3;ШОКОЛАД С МЯТОЙ  BRUSKO;BRUSKO;;;
9041;ЭНЕРГЕТИК;;Оригинальный вкус энергетического напитка с лёгкими цитрусовыми нотами никого не оставит равнодушным и подарит заряд бодрости на весь день.;;3;ЭНЕРГЕТИК  BRUSKO;BRUSKO;;;
9042;ЯБЛОКО С МЯТОЙ;;Вкус классического кисло-сладкого зеленого яблока, сдобренный освежающей мятой. И никакого аниса!;;3;ЯБЛОКО С МЯТОЙ  BRUSKO;BRUSKO;;;
9043;ЯБЛОЧНЫЙ ШТРУДЕЛЬ;;Традиционный европейский десерт с начинкой из печёных яблок с добавлением корицы и имбиря порадует любителей пряных десертных сочетаний.;;3;ЯБЛОЧНЫЙ ШТРУДЕЛЬ  BRUSKO;BRUSKO;;;
9044;ЯГОДНАЯ ХВОЯ;;Легкий хвойный аромат в сочетании с ярким ягодным сбором и свежими мятными нотами станет идеальным решением на каждый день.;;3;ЯГОДНАЯ ХВОЯ  BRUSKO;BRUSKO;;;
9045;ЯГОДНЫЕ ЛЕДЕНЦЫ;;Насыщенный вкус сладких ягодных леденцов с лёгкой кислинкой, в основе которого виноград, чёрная смородина и черника.;;3;ЯГОДНЫЕ ЛЕДЕНЦЫ  BRUSKO;BRUSKO;;;
